"","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","infl","ltr","corpr","svar","D12.diff","E12.diff","b.m.diff","tbl.diff","AAA.diff","BAA.diff","lty.diff","ntis.diff","infl.diff","ltr.diff","corpr.diff","svar.diff","tbl.lagdiff","AAA.lagdiff","BAA.lagdiff","lty.lagdiff","ltr.lagdiff","corpr.lagdiff","EqPremResponse"
"269",12.835,25.2,0.3084170767,0.0414,0.0544802368,0.0612802368,0.0521802368,0.0340103517,0.0252197632,-0.03284623,-0.0238115571,0.0029212785,0.128,2.49,0.000933271600000007,0.0064,0.00976929560000026,0.0100692956000003,0.00976929560000027,-0.0079050691,-0.00486929560000027,0.0263022383,0.0231223162,0.0005795735,0.0012,-0.00711181409999956,-0.00541181409999957,-0.00801181409999956,-0.00925675210000001,-0.0171464353,"1"
"270",12.923,27.33,0.2909046586,0.0462,0.0582300444,0.0646300444,0.0548300444,0.0290133768,0.0251699556,-0.0066187168,0.0004700484,0.0016895243,0.0879999999999992,2.13,-0.0175124181,0.0048,0.00374980759999996,0.00334980759999996,0.00264980759999996,-0.0049969749,-4.98075999999514e-05,0.0262275132,0.0242816055,-0.0012317542,-0.0012,-0.00388377300000016,-0.00448377300000015,-0.00128377300000015,0.0064909351,0.00673297940000001,"0"
"271",13.17,30.6,0.2915683,0.056,0.0564538422000003,0.0628538422000003,0.0517538422000003,0.016595794,0.0281461577999997,0.0202492444,0.0124406187,0.002699731,0.247,3.27,0.000663641400000026,0.0098,-0.00177620219999973,-0.00177620219999973,-0.00307620219999973,-0.0124175828,0.00297620219999972,0.0268679612,0.0119705703,0.0010102067,0.0011,0.000946149399999444,0.00174614939999944,0.000946149399999444,-0.0784423418,-0.0506429565,"1"
"272",13.17,32.55,0.3138765419,0.0573,0.0538967564,0.0596967564,0.0481967564,0.0143978171,0.0273032436,0.0664002399,0.0652646185,0.0012461398,0,1.95,0.0223082419,0.0013,-0.00255708580000029,-0.00315708580000029,-0.00355708580000029,-0.0021979769,-0.000842914199999711,0.0461509955,0.0528239998,-0.0014535912,0.0044,0.00366926080000013,0.00256926080000013,0.00526926080000012,-0.044566731,-0.0397455609,"1"
"273",13.361,34.43,0.2864296179,0.0547,0.0432671373,0.0492671373,0.0372671373,0.0082679174,0.0297328627,0.1124866679,0.0902497136,0.0019651736,0.191000000000001,1.88,-0.027446924,-0.0026,-0.0106296190999999,-0.0104296190999999,-0.0109296190999999,-0.0061298997,0.00242961909999995,0.046086428,0.0249850951,0.0007190338,0.0064,0.00976929560000026,0.0100692956000003,0.00976929560000027,0.0263022383,0.0231223162,"1"
"274",13.575,35.18,0.2724949976,0.0528,0.0403556532999999,0.0464556532999999,0.0334556532999999,0.0063774144,0.0328443467000001,0.0240155816,0.0265534431,0.0013614246,0.213999999999999,0.75,-0.0139346203,-0.0019,-0.00291148400000016,-0.00281148400000017,-0.00381148400000017,-0.001890503,0.00311148400000016,-0.0884710863,-0.0636962705,-0.000603749,0.0048,0.00374980759999996,0.00334980759999996,0.00264980759999996,0.0262275132,0.0242816055,"1"
"275",13.788,33.96,0.2550263829,0.0514,0.0408606626000001,0.0475606626000001,0.0329606626000001,0.0155268465,0.0273393373999999,0.083728932,0.0669314676,0.0018545378,0.213000000000001,-1.22,-0.0174686147,-0.0014,0.000505009300000192,0.0011050093000002,-0.000494990699999802,0.0091494321,-0.0055050093000002,0.0597133504,0.0403780245,0.0004931132,0.0098,-0.00177620219999973,-0.00177620219999973,-0.00307620219999973,0.0268679612,0.0119705703,"1"
"276",14.104,34.04,0.2392996154,0.0496,0.0507082702000002,0.0575082702000002,0.0456082702000002,0.0168959567,0.0227917297999998,-0.0693105857,-0.0484848411,0.0043932744,0.315999999999999,0.0799999999999983,-0.0157267675,-0.0018,0.00984760760000017,0.00994760760000017,0.0126476076000002,0.0013691102,-0.00454760760000017,-0.1530395177,-0.1154163087,0.0025387366,0.0013,-0.00255708580000029,-0.00315708580000029,-0.00355708580000029,0.0461509955,0.0528239998,"1"
"277",14.273,34.91,0.2364437252,0.0509,0.0557135802999998,0.0626135802999998,0.0489135802999998,0.0271956085,0.0213864197000002,-0.0019536613,0.0014252624,0.0025019363,0.169,0.869999999999997,-0.00285589019999999,0.0013,0.00500531009999956,0.00510531009999957,0.00330531009999956,0.0102996518,-0.00140531009999956,0.0673569244,0.0499101035,-0.0018913381,-0.0026,-0.0106296190999999,-0.0104296190999999,-0.0109296190999999,0.046086428,0.0249850951,"0"
"278",14.664,36,0.2272973181,0.0509,0.0596629414000001,0.0665629414000001,0.0534629414000001,0.0295555316,0.0169370585999999,0.0165233544,0.0197374187,0.004162893,0.391,1.09,-0.0091464071,0,0.00394936110000027,0.00394936110000027,0.00454936110000027,0.0023599231,-0.00444936110000027,0.0184770157,0.0183121563,0.0016609567,-0.0019,-0.00291148400000016,-0.00281148400000017,-0.00381148400000017,-0.0884710863,-0.0636962705,"1"
